Symbol,Sector,Industry,,,
GNC.l,Consumer non-durables,Food: specialty/candy,,,
GOT.l,Miscellaneous,Investment trusts/Mutual funds,,,
GPE.l,Finance,Real estate investment trusts,,,
GRG.l,Consumer non-durables,Food: specialty/candy,,,
GROC.l,Non-energy minerals,Precious metals,,,
GSCT.l,Miscellaneous,Investment trusts/Mutual funds,,,
GSF.l,Miscellaneous,Investment trusts/Mutual funds,,,
GTC.l,Electronic technology,Electronic equipment/Instruments,,,
GTLY.l,Commercial services,Miscellaneous commercial services,,,
GUN.l,Health technology,Pharmaceuticals: other,,,
GWMO.l,Non-energy minerals,Precious metals,,,
GYM.l,Consumer services,Other consumer services,,,
HAT.l,Finance,Finance/Rental/Leasing,,,
HAYD.l,Process industries,Chemicals: specialty,,,
HBR.l,Energy minerals,Oil & gas production,,,
HDD.l,Process industries,Industrial specialties,,,
HE1.l,Energy minerals,Oil & gas production,,,
HEAD.l,Distribution services,Wholesale distributors,,,
HET.l,Miscellaneous,Investment trusts/Mutual funds,,,
HEX.l,Non-energy minerals,Other metals/Minerals,,,
HFD.l,Retail trade,Specialty stores,,,
HFG.l,Consumer non-durables,Food: meat/fish/dairy,,,
HGT.l,Finance,Investment managers,,,
HHI.l,Miscellaneous,Investment trusts/Mutual funds,,,
HICL.l,Finance,Investment managers,,,
HILS.l,Producer manufacturing,Miscellaneous manufacturing,,,
HINT.l,Miscellaneous,Investment trusts/Mutual funds,,,
HLCL.l,Finance,Real estate development,,,
HLMA.l,Electronic technology,Electronic equipment/Instruments,,,
HMI.l,Process industries,Chemicals: agricultural,,,
HMSO.l,Finance,Real estate investment trusts,,,
HOC.l,Non-energy minerals,Precious metals,,,
HOT.l,Miscellaneous,Investment trusts/Mutual funds,,,
HRN.l,Consumer durables,Recreational products,,,
HSBA.l,Finance,Major banks,,,
HSL.l,Miscellaneous,Investment trusts/Mutual funds,,,
HSP.l,Commercial services,Miscellaneous commercial services,,,
HSS.l,Finance,Finance/Rental/Leasing,,,
HSX.l,Finance,Multi-line insurance,,,
HTG.l,Industrial services,Oilfield services/Equipment,,,
HTWS.l,Communications,Specialty telecommunications,,,
HUD.l,Electronic technology,Electronic equipment/Instruments,,,
HUW.l,Finance,Insurance brokers/Services,,,
HVO.l,Commercial services,Miscellaneous commercial services,,,
HVPE.l,Finance,Investment managers,,,
HWDN.l,Consumer durables,Electronics/Appliances,,,
HWG.l,Finance,Real estate development,,,
I3E.l,Energy minerals,Oil & gas production,,,
IBST.l,Non-energy minerals,Construction materials,,,
IBT.l,Miscellaneous,Investment trusts/Mutual funds,,,
ICGT.l,Finance,Investment managers,,,
IDOX.l,Technology services,Packaged software,,,
IDS.l,Transportation,Air freight/Couriers,,,
IEM.l,Miscellaneous,Investment trusts/Mutual funds,,,
IES.l,Producer manufacturing,Electrical products,,,
IGG.l,Finance,Investment banks/Brokers,,,
IGP.l,Technology services,Packaged software,,,
IHC.l,Health technology,Medical specialties,,,
IHR.l,Finance,Real estate investment trusts,,,
IKA.l,Producer manufacturing,Electrical products,,,
IMB.l,Consumer non-durables,Tobacco,,,
IMI.l,Producer manufacturing,Industrial machinery,,,
IMM.l,Health technology,Pharmaceuticals: other,,,
INCH.l,Distribution services,Wholesale distributors,,,
INF.l,Technology services,Internet software/Services,,,
INHC.l,Technology services,Packaged software,,,
INPP.l,Finance,Investment managers,,,
INVP.l,Finance,Investment banks/Brokers,,,
IOF.l,Process industries,Chemicals: specialty,,,
IOM.l,Technology services,Data processing services,,,
IPF.l,Finance,Finance/Rental/Leasing,,,
IPU.l,Miscellaneous,Investment trusts/Mutual funds,,,
IQE.l,Producer manufacturing,Industrial machinery,,,
ITH.l,Energy minerals,Integrated oil,,,
ITIM.l,Technology services,Information technology services,,,
ITRK.l,Commercial services,Miscellaneous commercial services,,,
ITV.l,Consumer services,Movies/Entertainment,,,
IUG.l,Technology services,Packaged software,,,
IWG.l,Commercial services,Miscellaneous commercial services,,,
IXI.l,Commercial services,Miscellaneous commercial services,,,
JAGI.l,Miscellaneous,Investment trusts/Mutual funds,,,
JAM.l,Miscellaneous,Investment trusts/Mutual funds,,,
JAN.l,Non-energy minerals,Steel,,,
JARA.l,Miscellaneous,Investment trusts/Mutual funds,,,
JCGI.l,Miscellaneous,Investment trusts/Mutual funds,,,
JCH.l,Miscellaneous,Investment trusts/Mutual funds,,,
JDG.l,Electronic technology,Electronic equipment/Instruments,,,
JDW.l,Consumer services,Restaurants,,,
JEDT.l,Miscellaneous,Investment trusts/Mutual funds,,,
JEGI.l,Miscellaneous,Investment trusts/Mutual funds,,,
JEMI.l,Miscellaneous,Investment trusts/Mutual funds,,,
JET2.l,Consumer services,Other consumer services,,,
JFJ.l,Miscellaneous,Investment trusts/Mutual funds,,,
JGGI.l,Miscellaneous,Investment trusts/Mutual funds,,,
JHD.l,Producer manufacturing,Building products,,,
JII.l,Miscellaneous,Investment trusts/Mutual funds,,,
JIM.l,Finance,Investment banks/Brokers,,,
JLP.l,Non-energy minerals,Other metals/Minerals,,,
JMAT.l,Process industries,Chemicals: major diversified,,,
JMG.l,Miscellaneous,Investment trusts/Mutual funds,,,
JNEO.l,Electronic technology,Computer communications,,,
JOG.l,Energy minerals,Oil & gas production,,,
JSG.l,Commercial services,Miscellaneous commercial services,,,
JSGI.l,Miscellaneous,Investment trusts/Mutual funds,,,
JTC.l,Finance,Investment managers,,,
JUGI.l,Miscellaneous,Investment trusts/Mutual funds,,,
JUP.l,Miscellaneous,Investment trusts/Mutual funds,,,
JUSC.l,Miscellaneous,Investment trusts/Mutual funds,,,
JWNG.l,Commercial services,Advertising/Marketing services,,,
KAT.l,Non-energy minerals,Precious metals,,,
KDNC.l,Non-energy minerals,Other metals/Minerals,,,
KDR.l,Non-energy minerals,Other metals/Minerals,,,
KEFI.l,Non-energy minerals,Precious metals,,,
KETL.l,Electronic technology,Electronic equipment/Instruments,,,
KGF.l,Retail trade,Home improvement chains,,,
KINO.l,Industrial services,Engineering & construction,,,
KIST.l,Energy minerals,Oil & gas production,,,
KITW.l,Distribution services,Food distributors,,,
KLR.l,Industrial services,Engineering & construction,,,
KMK.l,Health technology,Medical specialties,,,
KMR.l,Non-energy minerals,Other metals/Minerals,,,
KNOS.l,Technology services,Information technology services,,,
KOO.l,Health services,Medical/Nursing services,,,
KP2.l,Non-energy minerals,Other metals/Minerals,,,
KPC.l,Miscellaneous,Investment trusts/Mutual funds,,,
KRS.l,Non-energy minerals,Precious metals,,,
KWS.l,Commercial services,Miscellaneous commercial services,,,
KZG.l,Non-energy minerals,Other metals/Minerals,,,
LABS.l,Finance,Real estate investment trusts,,,
LBG.l,Commercial services,Commercial printing/Forms,,,
LDG.l,Transportation,Air freight/Couriers,,,
LEX.l,Non-energy minerals,Precious metals,,,
LGEN.l,Finance,Multi-line insurance,,,
LGRS.l,Consumer services,Restaurants,,,
LIFS.l,Finance,Financial conglomerates,,,
LIKE.l,Distribution services,Wholesale distributors,,,
LINV.l,Finance,Finance/Rental/Leasing,,,
LIO.l,Finance,Investment managers,,,
LLA.l,Health services,Medical/Nursing services,,,
LLAI.l,Health services,Medical/Nursing services,,,
LLOY.l,Finance,Major banks,,,
LMP.l,Finance,Real estate investment trusts,,,
LORD.l,Distribution services,Wholesale distributors,,,
LSEG.l,Technology services,Internet software/Services,,,
LSL.l,Finance,Real estate development,,,
LST.l,Technology services,Information technology services,,,
LTG.l,Technology services,Packaged software,,,
LTHM.l,Distribution services,Wholesale distributors,,,
LTI.l,Miscellaneous,Investment trusts/Mutual funds,,,
LUCE.l,Electronic technology,Electronic equipment/Instruments,,,
LWDB.l,Miscellaneous,Investment trusts/Mutual funds,,,
LWI.l,Miscellaneous,Investment trusts/Mutual funds,,,
MAB.l,Consumer services,Restaurants,,,
MAB1.l,Finance,Finance/Rental/Leasing,,,
MACF.l,Producer manufacturing,Miscellaneous manufacturing,,,
MAFL.l,Finance,Financial conglomerates,,,
MAI.l,Technology services,Information technology services,,,
MAJE.l,Miscellaneous,Investment trusts/Mutual funds,,,
MANO.l,Finance,Finance/Rental/Leasing,,,
MARS.l,Consumer services,Restaurants,,,
MATD.l,Energy minerals,Oil & gas production,,,
MBH.l,Non-energy minerals,Construction materials,,,
MBO.l,Technology services,Internet software/Services,,,
MBT.l,Commercial services,Miscellaneous commercial services,,,
MCG.l,Transportation,Other transportation,,,
MCT.l,Miscellaneous,Investment trusts/Mutual funds,,,
MDZ.l,Electronic technology,Electronic production equipment,,,
MEGP.l,Retail trade,Specialty stores,,,
MER.l,Consumer durables,Homebuilding,,,
MET1.l,Non-energy minerals,Precious metals,,,
MEX.l,Consumer services,Restaurants,,,
MFAI.l,Finance,Investment managers,,,
MFX.l,Finance,Regional banks,,,
MGAM.l,Process industries,Industrial specialties,,,
MGNS.l,Industrial services,Engineering & construction,,,
MHC.l,Health technology,Medical specialties,,,
MIDW.l,Distribution services,Wholesale distributors,,,
MIRI.l,Commercial services,Advertising/Marketing services,,,
MKA.l,Non-energy minerals,Other metals/Minerals,,,
MKS.l,Retail trade,Department stores,,,
MLVN.l,Consumer services,Other consumer services,,,
MMAG.l,Retail trade,Internet retail,,,
MNDI.l,Process industries,Containers/Packaging,,,
MNKS.l,Miscellaneous,Investment trusts/Mutual funds,,,
MNP.l,Miscellaneous,Investment trusts/Mutual funds,,,
MONY.l,Technology services,Internet software/Services,,,
MOON.l,Technology services,Internet software/Services,,,
MOTR.l,Retail trade,Specialty stores,,,
MPAC.l,Producer manufacturing,Industrial machinery,,,
MPE.l,Process industries,Agricultural commodities/Milling,,,
MPL.l,Transportation,Other transportation,,,
MRCH.l,Miscellaneous,Investment trusts/Mutual funds,,,
MSLH.l,Non-energy minerals,Construction materials,,,
MSMN.l,Energy minerals,Integrated oil,,,
MTE.l,Miscellaneous,Investment trusts/Mutual funds,,,
MTEC.l,Technology services,Data processing services,,,
MTL.l,Non-energy minerals,Precious metals,,,
MTO.l,Commercial services,Miscellaneous commercial services,,,
MTRO.l,Finance,Finance/Rental/Leasing,,,
MTU.l,Miscellaneous,Investment trusts/Mutual funds,,,
MUT.l,Miscellaneous,Investment trusts/Mutual funds,,,
MWE.l,Electronic technology,Telecommunications equipment,,,
MWY.l,Miscellaneous,Investment trusts/Mutual funds,,,
MYX.l,Producer manufacturing,Industrial machinery,,,
N4P.l,Health technology,Biotechnology,,,
N91.l,Finance,Investment managers,,,
NAH.l,Finance,Insurance brokers/Services,,,
NAIT.l,Miscellaneous,Investment trusts/Mutual funds,,,
NAR.l,Distribution services,Electronics distributors,,,
NAS.l,Miscellaneous,Investment trusts/Mutual funds,,,
NBPE.l,Finance,Investment managers,,,
NCYF.l,Miscellaneous,Investment trusts/Mutual funds,,,
NCYT.l,Health technology,Medical specialties,,,
NESF.l,Finance,Investment managers,,,
NEXS.l,Industrial services,Engineering & construction,,,
NICL.l,Consumer non-durables,Beverages: non-alcoholic,,,
NIOX.l,Health services,Medical/Nursing services,,,
NRR.l,Finance,Real estate investment trusts,,,
NTBR.l,Industrial services,Engineering & construction,,,
NTOG.l,Energy minerals,Oil & gas production,,,
NTQ.l,Commercial services,Miscellaneous commercial services,,,
NXQ.l,Consumer durables,Recreational products,,,
NXR.l,Producer manufacturing,Building products,,,
OBD.l,Health technology,Biotechnology,,,
OBI.l,Health technology,Biotechnology,,,
OCDO.l,Retail trade,Food retail,,,
OCN.l,Transportation,Marine shipping,,,
OHT.l,Process industries,Agricultural commodities/Milling,,,
OIG.l,Miscellaneous,Investment trusts/Mutual funds,,,
OMG.l,Electronic technology,Electronic equipment/Instruments,,,
OMIP.l,Consumer services,Movies/Entertainment,,,
ONC.l,Health technology,Biotechnology,,,
OPG.l,Utilities,Electric utilities,,,
OPTI.l,Health technology,Biotechnology,,,
ORIT.l,Miscellaneous,Investment trusts/Mutual funds,,,
ORR.l,Non-energy minerals,Precious metals,,,
OSB.l,Finance,Major banks,,,
OTB.l,Consumer services,Other consumer services,,,
OXB.l,Health technology,Biotechnology,,,
OXIG.l,Electronic technology,Electronic equipment/Instruments,,,
PAF.l,Non-energy minerals,Precious metals,,,
PAGE.l,Commercial services,Personnel services,,,
PANR.l,Energy minerals,Oil & gas production,,,
PAT.l,Non-energy minerals,Precious metals,,,
PBEE.l,Finance,Investment managers,,,
PCA.l,Finance,Real estate development,,,
